Age;Gender;Period;Unemployed
15 to 24 years;Males;2006-02-21;13,1
15 years and over;Males;2006-02-22;6,8
15 to 24 years;Females;2006-02-23;10,1
15 years and over;Both sexes;2006-02-24;6,3
15 years and over;Both sexes;2006-02-25;5,7
15 to 24 years;Females;2006-02-26;7,8
15 years and over;Males;2006-02-27;6,2
15 to 24 years;Males;2006-02-28;12,9
15 years and over;Females;2006-03-01;5,2
15 to 24 years;Both sexes;2006-03-02;10,5
15 to 24 years;Both sexes;2006-03-03;10
15 years and over;Females;2006-03-04;5,4
15 to 24 years;Males;2006-03-05;10,9
15 years and over;Males;2006-03-06;6
15 to 24 years;Females;2006-03-07;9
15 years and over;Both sexes;2006-03-08;5,7
15 years and over;Both sexes;2006-03-09;5,9
15 to 24 years;Females;2006-03-10;9,5
15 years and over;Males;2006-03-11;6,2
15 to 24 years;Males;2006-03-12;14,9
15 years and over;Females;2006-03-13;5,7
15 to 24 years;Both sexes;2006-03-14;12,3
15 to 24 years;Both sexes;2006-03-15;11,1
15 years and over;Females;2006-03-16;5,1
15 to 24 years;Males;2006-03-17;13,1
15 years and over;Males;2006-03-18;6
15 to 24 years;Females;2006-03-19;9,1
15 years and over;Both sexes;2006-03-20;5,6
15 years and over;Both sexes;2006-03-21;5,4
15 to 24 years;Females;2006-03-22;9,3
15 years and over;Males;2006-03-23;5,8
15 to 24 years;Males;2006-03-24;11,2
15 years and over;Females;2006-03-25;5
15 to 24 years;Both sexes;2006-03-26;10,3
15 to 24 years;Both sexes;2006-03-27;10,5
15 years and over;Females;2006-03-28;5,6
15 to 24 years;Males;2006-03-29;10,8
15 years and over;Males;2006-03-30;5,8
15 to 24 years;Females;2006-03-31;10,2
15 years and over;Both sexes;2006-04-01;5,7
15 years and over;Both sexes;2006-04-02;5,6
15 to 24 years;Females;2006-04-03;9,6
15 years and over;Males;2006-04-04;5,8
15 to 24 years;Males;2006-04-05;12,6
15 years and over;Females;2006-04-06;5,2
15 to 24 years;Both sexes;2006-04-07;11,1
15 to 24 years;Both sexes;2006-04-08;10,3
15 years and over;Females;2006-04-09;4,9
15 to 24 years;Males;2006-04-10;11,2
15 years and over;Males;2006-04-11;5,7
15 to 24 years;Females;2006-04-12;9,3
15 years and over;Both sexes;2006-04-13;5,4
15 years and over;Both sexes;2006-04-14;5,6
15 to 24 years;Females;2006-04-15;8,9
15 years and over;Males;2006-04-16;6,1
15 to 24 years;Males;2006-04-17;13
15 years and over;Females;2006-04-18;4,9
15 to 24 years;Both sexes;2006-04-19;11,1
15 to 24 years;Both sexes;2006-04-20;10,1
15 years and over;Females;2006-04-21;5,4
15 to 24 years;Males;2006-04-22;9,8
15 years and over;Males;2006-04-23;5,6
15 to 24 years;Females;2006-04-24;10,5
15 years and over;Both sexes;2006-04-25;5,5
15 years and over;Both sexes;2006-04-26;5,4
15 to 24 years;Females;2006-04-27;9,4
15 years and over;Males;2006-04-28;5,6
15 to 24 years;Males;2006-04-29;11,1
15 years and over;Females;2006-04-30;5,1
15 to 24 years;Both sexes;2006-05-01;10,3
15 to 24 years;Both sexes;2006-05-02;9,8
15 years and over;Females;2006-05-03;5,3
15 to 24 years;Males;2006-05-04;10,2
15 years and over;Males;2006-05-05;5,1
15 to 24 years;Females;2006-05-06;9,3
15 years and over;Both sexes;2006-05-07;5,1
15 years and over;Both sexes;2006-05-08;5,1
15 to 24 years;Females;2006-05-09;9,9
15 years and over;Males;2006-05-10;5
15 to 24 years;Males;2006-05-11;9
15 years and over;Females;2006-05-12;5,2
15 to 24 years;Both sexes;2006-05-13;9,5
15 to 24 years;Both sexes;2006-05-14;10,2
15 years and over;Females;2006-05-15;4,9
15 to 24 years;Males;2006-05-16;11,5
15 years and over;Males;2006-05-17;4,7
15 to 24 years;Females;2006-05-18;8,8
15 years and over;Both sexes;2006-05-19;4,8
15 years and over;Both sexes;2006-05-20;5
15 to 24 years;Females;2006-05-21;10,6
15 years and over;Males;2006-05-22;4,8
15 to 24 years;Males;2006-05-23;9,5
15 years and over;Females;2006-05-24;5,2
15 to 24 years;Both sexes;2006-05-25;10
15 to 24 years;Both sexes;2006-05-26;9,4
15 years and over;Females;2006-05-27;5,2
15 to 24 years;Males;2006-05-28;10,7
15 years and over;Males;2006-05-29;5,1
15 to 24 years;Females;2006-05-30;7,8
15 years and over;Both sexes;2006-05-31;5,2
15 years and over;Both sexes;2006-06-01;5
15 to 24 years;Females;2006-06-02;8,1
15 years and over;Males;2006-06-03;5,2
15 to 24 years;Males;2006-06-04;9,6
15 years and over;Females;2006-06-05;4,8
15 to 24 years;Both sexes;2006-06-06;8,9
15 to 24 years;Both sexes;2006-06-07;8,6
15 years and over;Females;2006-06-08;4,5
15 to 24 years;Males;2006-06-09;8,9
15 years and over;Males;2006-06-10;4,8
15 to 24 years;Females;2006-06-11;8,4
15 years and over;Both sexes;2006-06-12;4,7
15 years and over;Both sexes;2006-06-13;4,5
15 to 24 years;Females;2006-06-14;7,9
15 years and over;Males;2006-06-15;4,4
15 to 24 years;Males;2006-06-16;9
15 years and over;Females;2006-06-17;4,6
